bundle,deleted,entity_id,revision_id,langcode,delta,body_value,,body_format
news,0,1361,3011,und,0,Path: presidioparkway.com<br/>,,rich_text
news,0,1374,2379,und,0,Path: /programs/specialties/nurse-midwifery-womens-health-nurse-practitioner<br/>,,rich_text
news,0,1382,2387,und,0,Path: /faculty/jill-esquivel<br/>,,rich_text
news,0,1404,2409,und,0,Path: AANNET.ORG<br/>Path: AANNET.ORG<br/>,,rich_text
news,0,1407,2412,und,0,Path: livescience.com<br/>,,rich_text
news,0,1651,3006,en,0,Path: /faculty/carol-dawson-rose<br/>Path: /staff/yvette-cuca<br/>,,rich_text
news,0,1746,3506,en,0,Path: <br/>Path: /about/center-for-global-health<br/>Path: <br/>,,rich_text
news,0,1781,3631,en,0,Path: /faculty/adam-carrico<br/>Path: /faculty/carol-dawson-rose<br/>Path: /faculty/aaron-miller<br/>Path: /staff/annesa-flentje<br/>,,rich_text
news,0,1796,3731,en,0,Path: <br/>Path: <br/>,,rich_text
news,0,1831,3871,en,0,Path: /faculty/angel-chen<br/>Path: /faculty/joanne-saxe<br/>,,rich_text
news,0,1856,4011,en,0,Path: /faculty/carmen-portillo<br/>,,rich_text
news,0,1861,4016,en,0,Path: /faculty/michele-pelter<br/>Path: /about/departments/physiological-nursing<br/>Path: /faculty/michele-pelter<br/>Path: /faculty/barbara-drew<br/>Path: /faculty/xiao-hu<br/>,,rich_text
news,0,2656,5076,en,0,Path: /staff/mary-louise-fleming<br/>Path: /programs/specialties/occupational-and-environmental-health-nursing<br/>Path: /faculty/oi-saeng-hong<br/>Path: /staff/david-vlahov<br/>Path: /news/nursing-conference-highlights-trend-us-international-training<br/>,,rich_text
news,0,2901,5541,en,0,Path: /faculty/carolina-noya<br/>Path: /faculty/erica-monasterio<br/>,,rich_text
news,0,2941,10056,en,0,Path: /academic-program/diabetes-minor<br/>Path: /news/groundbreaking-diabetes-minor<br/>,,rich_text
news,0,3396,6391,en,0,Path: /faculty/caroline-stephens<br/>,,rich_text
news,0,3481,6801,en,0,Path: /faculty/anne-lown<br/>,,rich_text
news,0,3581,6646,en,0,Path: /about/center-for-global-health<br/>Path: /faculty/carolina-noya<br/>Path: /faculty/sally-rankin<br/>Path: /faculty/carolina-noya<br/>Path: /about/center-for-global-health<br/>Path: /sites/nursing.ucsf.edu/files/GNF_Award_Guidelines_0.pdf<br/>Path: /news/interview-carolina-noya-fnp-bc-rn-ms<br/>,,rich_text
news,0,3611,6921,en,0,Path: Sergio.saenz@ucsf.edu<br/>Path: /sites/nursing.ucsf.edu/files/Flo%20Stroud%202016.pdf<br/>,,rich_text
news,0,3786,12751,en,0,Path: /faculty/catherine-waters<br/>Path: /news/ten-ucsf-school-nursing-2011-inductees-american-academy-nursing<br/>,,rich_text
news,0,3806,7191,en,0,Path: /about/Shobe<br/>Path: /about/Shobe<br/>Path: /about/Shobe<br/>,,rich_text
news,0,4096,7611,en,0,Path: /faculty/valerie-yerger<br/>Path: /faculty/joanne-spetz<br/>Path: /faculty/catherine-waters<br/>Path: /faculty/monica-mclemore<br/>Path: /faculty/susan-chapman<br/>Path: /faculty/ruth-malone<br/>Path: /faculty/carmen-portillo<br/>Path: /staff/david-vlahov<br/>Path: /about/organization/commitment-diversity<br/>,,rich_text
news,0,4271,7956,en,0,Path: /faculty/mica-estrada<br/>,,rich_text
news,0,4311,10831,en,0,Path: /faculty/janet-shim<br/>Path: /faculty/barbara-drew<br/>,,rich_text
news,0,4321,10811,en,0,Path: /faculty/sharon-kaufman<br/>Path: /content/heart-matter-families-and-heart-disease-warm-heart-africa<br/>Path: /news/ruth-malone-delivers-helen-nahm-research-lecture<br/>,,rich_text
news,0,4326,8116,en,0,Path: /faculty/rebekah-kaplan<br/>,,rich_text
news,0,4356,8176,en,0,Path: /faculty/jyu-lin-chen<br/>Path: /academic-program/family-nurse-practitioner-fnp<br/>,,rich_text
news,0,4386,8221,en,0,Path: /faculty/janet-shim<br/>,,rich_text
news,0,4536,8426,en,0,Path: /faculty/melinda-bender<br/>,,rich_text
news,0,4691,15196,en,0,Path: /faculty/stella-bialous<br/>,,rich_text
news,0,4866,15306,en,0,Path: /faculty/glenn-milo-santos<br/>Path: /news/new-abstracts<br/>,,rich_text
news,0,4876,8901,en,0,Path: /faculty/doranne-donesky<br/>Path: /programs/minors/palliative-care-minor<br/>Path: /faculty/kathleen-puntillo<br/>Path: /staff/david-vlahov<br/>Path: /faculty/margaret-wallhagen<br/>,,rich_text
news,0,5021,10431,en,0,Path: /faculty/miranda-surjadi<br/>Path: /faculty/kathryn-lee<br/>Path: /news/headstails%E2%80%94silenced-warriors-and-baby-daddies-young-fatherhood-among-native-american-men<br/>,,rich_text
news,0,5101,9316,en,0,Path: /faculty/naomi-schapiro<br/>Path: /ucsf-elev8-healthy-students-families<br/>,,rich_text
news,0,5371,9691,en,0,Path: /faculty/monica-mclemore<br/>,,rich_text
news,0,5461,9861,en,0,Path: /staff/david-vlahov<br/>,,rich_text
news,0,5491,9886,en,0,Path: /programs/specialties/occupational-and-environmental-health-nursing<br/>Path: /faculty/oi-saeng-hong<br/>Path: /news/celebrating-our-doctoral-students<br/>,,rich_text
news,0,5516,10426,en,0,Path: /about/departments/institute-health-aging<br/>Path: /news/institute-health-and-aging-30th-anniversary-celebration<br/>,,rich_text
news,0,5641,13136,en,0,Path: /faculty/pilar-bernal-de-pheils<br/>Path: /faculty/geraldine-collins-bride<br/>Path: /staff/david-vlahov<br/>Path: /news/helen-martin-rn-ms-fnp-memoriam<br/>,,rich_text
news,0,5736,10231,en,0,Path: /faculty/sharon-kaufman<br/>,,rich_text
news,0,5751,10286,en,0,Path: /staff/yana-peterson<br/>,,rich_text
news,0,5771,10406,en,0,Path: /programs/specialties/occupational-and-environmental-health-nursing<br/>Path: /programs/specialties/advanced-public-health-nursing-aphn<br/>Path: /faculty/carol-dawson-rose<br/>Path: /faculty/catherine-waters<br/>Path: /programs/specialties/occupational-and-environmental-health-nursing<br/>Path: /faculty/oi-saeng-hong<br/>Path: /faculty/barbara-burgel<br/>Path: /faculty/soo-jeong-lee<br/>,,rich_text
news,0,6301,12686,en,0,Path: /faculty/pamela-bellefeuille<br/>Path: /staff/kizza-chadiha<br/>Path: /faculty/kristine-warner<br/>,,rich_text
news,0,6421,13406,en,0,Path: /faculty/yoshimi-fukuoka<br/>,,rich_text
news,0,6456,13901,en,0,Path: /faculty/doranne-donesky<br/>Path: /staff/david-vlahov<br/>,,rich_text
news,0,6501,11556,en,0,Path: /faculty/glenn-milo-santos<br/>,,rich_text
news,0,6511,13116,en,0,Path: /staff/mary-louise-fleming<br/>,,rich_text
news,0,6526,13111,en,0,Path: /faculty/ulrike-muench<br/>Path: /faculty/joanne-spetz<br/>,,rich_text
news,0,6646,11766,en,0,Path: /faculty/howard-pinderhughes<br/>Path: /about/DIVA<br/>Path: /faculty/ruth-malone<br/>,,rich_text
news,0,6711,12556,en,0,Path: /faculty/carmen-portillo<br/>Path: /faculty/carol-dawson-rose<br/>Path: /faculty/bethany-phoenix<br/>Path: /staff/michele-keating<br/>Path: /faculty/catherine-chesla<br/>Path: /staff/cynthia-chor<br/>Path: /staff/marieville-sales<br/>Path: /faculty/wendy-max<br/>Path: /faculty/julene-johnson<br/>Path: /faculty/brooke-hollister<br/>Path: /news/institute-health-and-aging-30th-anniversary-celebration<br/>Path: /faculty/janine-cataldo<br/>Path: /news/new-pn-department-chair<br/>Path: /faculty/margaret-wallhagen<br/>Path: /faculty/howard-pinderhughes<br/>Path: /news/new-department-chair-social-and-behavioral-sciences<br/>Path: /faculty/ruth-malone<br/>Path: <br/>Path: /affiliate/michael-trevino<br/>Path: /affiliate/michael-trevino<br/>Path: /staff/meredith-appelbaum<br/>Path: /staff/meredith-appelbaum<br/>Path: /staff/teashall-britton<br/>Path: /staff/toni-burruel<br/>Path: /staff/mike-mclaughlin<br/>Path: /staff/shandel-roberts<br/>Path: /about/departments/office-dean-contacts<br/>Path: /staff/michael-jaffe<br/>,,rich_text
